,concept:name,lifecycle:transition_start,time:timestamp_start,org:resource,case:concept:name,lifecycle:transition_complete,time:timestamp_complete,duration,duration_seconds,duration_sampled,seconds_in_day,1,Clark,Jane,Joe,Karsten,DIAGNOSIS,REPAIR
0,DIAGNOSIS,START,2020-01-01 14:34:18.820288+00:00,Joe,0,COMPLETE,2020-01-01 15:21:28.088736+00:00,0 days 00:47:09.268448,2829,4368,52458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,REPAIR,START,2020-01-01 15:21:28.088736+00:00,1,0,COMPLETE,2020-01-01 19:13:00.804173+00:00,0 days 03:51:32.715437,13892,16226,55288,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,QUALITY_CONTROL,START,2020-01-01 19:13:00.804173+00:00,Karsten,0,COMPLETE,2020-01-01 23:05:15.854003+00:00,0 days 03:52:15.049830,13935,10815,69180,1.0,0.0,0.0,1.0,0.0,1.0,1.0
3,DIAGNOSIS,START,2020-01-01 18:00:49.603934+00:00,Jane,1,COMPLETE,2020-01-01 19:08:11.564364+00:00,0 days 01:07:21.960430,4041,1833,64849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,REPAIR,START,2020-01-01 19:08:11.564364+00:00,Jane,1,COMPLETE,2020-01-02 02:49:53.806536+00:00,0 days 07:41:42.242172,27702,16680,68891,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5,QUALITY_CONTROL,START,2020-01-02 02:49:53.806536+00:00,Clark,1,COMPLETE,2020-01-02 05:15:46.711023+00:00,0 days 02:25:52.904487,8752,7796,10193,0.0,0.0,2.0,0.0,0.0,1.0,1.0
6,DIAGNOSIS,START,2020-01-03 20:03:42.234100+00:00,Clark,2,COMPLETE,2020-01-03 21:20:30.929146+00:00,0 days 01:16:48.695046,4608,4981,72222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,REPAIR,START,2020-01-03 21:20:30.929146+00:00,Joe,2,COMPLETE,2020-01-03 23:59:50.856521+00:00,0 days 02:39:19.927375,9559,17420,76830,0.0,1.0,0.0,0.0,0.0,1.0,0.0
8,QUALITY_CONTROL,START,2020-01-03 23:59:50.856521+00:00,Clark,2,COMPLETE,2020-01-04 04:02:26.849036+00:00,0 days 04:02:35.992515,14555,7224,86390,0.0,1.0,0.0,1.0,0.0,1.0,1.0
9,DIAGNOSIS,START,2020-01-05 04:43:50.107804+00:00,1,3,COMPLETE,2020-01-05 05:52:04.870916+00:00,0 days 01:08:14.763112,4094,3547,17030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,REPAIR,START,2020-01-05 05:52:04.870916+00:00,1,3,COMPLETE,2020-01-05 10:15:12.121520+00:00,0 days 04:23:07.250604,15787,19786,21124,1.0,0.0,0.0,0.0,0.0,1.0,0.0
11,QUALITY_CONTROL,START,2020-01-05 10:15:12.121520+00:00,Jane,3,COMPLETE,2020-01-05 12:02:42.776228+00:00,0 days 01:47:30.654708,6450,14266,36912,2.0,0.0,0.0,0.0,0.0,1.0,1.0
12,DIAGNOSIS,START,2020-01-06 21:43:52.591109+00:00,Jane,4,COMPLETE,2020-01-06 22:51:06.659473+00:00,0 days 01:07:14.068364,4034,5061,78232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,REPAIR,START,2020-01-06 22:51:06.659473+00:00,1,4,COMPLETE,2020-01-07 04:23:13.999680+00:00,0 days 05:32:07.340207,19927,34219,82266,0.0,0.0,1.0,0.0,0.0,1.0,0.0
14,QUALITY_CONTROL,START,2020-01-07 04:23:13.999680+00:00,Joe,4,COMPLETE,2020-01-07 08:53:03.837400+00:00,0 days 04:29:49.837720,16189,13372,15793,1.0,0.0,1.0,0.0,0.0,1.0,1.0
15,DIAGNOSIS,START,2020-01-07 20:06:43.837841+00:00,Jane,5,COMPLETE,2020-01-07 21:32:32.204969+00:00,0 days 01:25:48.367128,5148,4367,72403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,REPAIR,START,2020-01-07 21:32:32.204969+00:00,Clark,5,COMPLETE,2020-01-08 04:29:47.096662+00:00,0 days 06:57:14.891693,25034,28610,77552,0.0,0.0,1.0,0.0,0.0,1.0,0.0
17,QUALITY_CONTROL,START,2020-01-08 04:29:47.096662+00:00,Clark,5,COMPLETE,2020-01-08 06:18:47.600212+00:00,0 days 01:49:00.503550,6540,11583,16187,0.0,1.0,1.0,0.0,0.0,1.0,1.0
