,org:resource,lifecycle:transition_start,concept:name,time:timestamp_start,case:REG_DATE_start,case:concept:name,case:AMOUNT_REQ_start,lifecycle:transition_complete,time:timestamp_complete,case:REG_DATE_complete,case:AMOUNT_REQ_complete,duration,duration_seconds
568036,10124,START,W_Afhandelen leads,2012-01-27 07:47:23.961000+00:00,2012-01-26 20:52:51.473000+00:00,204314,7500,COMPLETE,2012-01-27 07:47:35.256000+00:00,2012-01-26 20:52:51.473000+00:00,7500,0 days 00:00:11.295000,11
714111,10124,START,W_Completeren aanvraag,2012-03-09 14:33:51.032000+00:00,2012-02-27 14:40:32.197000+00:00,213291,47000,COMPLETE,2012-03-09 14:40:20.427000+00:00,2012-02-27 14:40:32.197000+00:00,47000,0 days 00:06:29.395000,389
408629,10124,START,W_Nabellen offertes,2012-01-27 07:48:15.063000+00:00,2011-12-27 13:01:46.527000+00:00,195809,9000,COMPLETE,2012-01-27 07:48:38.434000+00:00,2011-12-27 13:01:46.527000+00:00,9000,0 days 00:00:23.371000,23
709811,10124,START,W_Valideren aanvraag,2012-03-09 10:45:31.871000+00:00,2012-02-26 17:26:07.329000+00:00,212995,15000,COMPLETE,2012-03-09 10:54:06.974000+00:00,2012-02-26 17:26:07.329000+00:00,15000,0 days 00:08:35.103000,515
304892,10125,START,W_Valideren aanvraag,2011-12-13 15:43:47.989000+00:00,2011-11-30 21:30:40.581000+00:00,190288,17000,COMPLETE,2011-12-13 15:44:36.976000+00:00,2011-11-30 21:30:40.581000+00:00,17000,0 days 00:00:48.987000,48
304902,10125,START,W_Valideren aanvraag,2011-12-13 15:45:41.786000+00:00,2011-11-30 21:30:40.581000+00:00,190288,17000,COMPLETE,2011-12-13 15:47:06.736000+00:00,2011-11-30 21:30:40.581000+00:00,17000,0 days 00:01:24.950000,84
141631,10138,START,W_Afhandelen leads,2011-10-28 15:25:57.872000+00:00,2011-10-28 15:25:31.188000+00:00,180547,15000,COMPLETE,2011-10-28 15:28:57.868000+00:00,2011-10-28 15:25:31.188000+00:00,15000,0 days 00:02:59.996000,179
231086,10138,START,W_Afhandelen leads,2011-11-15 09:22:06.660000+00:00,2011-11-15 09:21:13.227000+00:00,185449,15000,COMPLETE,2011-11-15 09:23:18.942000+00:00,2011-11-15 09:21:13.227000+00:00,15000,0 days 00:01:12.282000,72
306907,10138,START,W_Afhandelen leads,2011-12-01 11:53:50.494000+00:00,2011-12-01 11:53:04.441000+00:00,190402,27700,COMPLETE,2011-12-01 11:56:35.091000+00:00,2011-12-01 11:53:04.441000+00:00,27700,0 days 00:02:44.597000,164
435232,10138,START,W_Afhandelen leads,2012-01-02 13:26:33.638000+00:00,2012-01-02 13:08:21.776000+00:00,197117,6000,COMPLETE,2012-01-02 13:52:59.719000+00:00,2012-01-02 13:08:21.776000+00:00,6000,0 days 00:26:26.081000,1586
141640,10138,START,W_Completeren aanvraag,2011-10-28 15:29:13.970000+00:00,2011-10-28 15:25:31.188000+00:00,180547,15000,COMPLETE,2011-10-28 15:30:03.215000+00:00,2011-10-28 15:25:31.188000+00:00,15000,0 days 00:00:49.245000,49
231095,10138,START,W_Completeren aanvraag,2011-11-15 09:23:35.744000+00:00,2011-11-15 09:21:13.227000+00:00,185449,15000,COMPLETE,2011-11-15 09:26:46.346000+00:00,2011-11-15 09:21:13.227000+00:00,15000,0 days 00:03:10.602000,190
231380,10138,START,W_Completeren aanvraag,2011-11-15 09:47:25.925000+00:00,2011-11-15 09:46:19.903000+00:00,185461,5500,COMPLETE,2011-11-15 09:49:31.021000+00:00,2011-11-15 09:46:19.903000+00:00,5500,0 days 00:02:05.096000,125
241552,10138,START,W_Completeren aanvraag,2011-11-24 13:42:08.719000+00:00,2011-11-16 20:45:53.227000+00:00,186029,6000,COMPLETE,2011-11-24 13:53:48.196000+00:00,2011-11-16 20:45:53.227000+00:00,6000,0 days 00:11:39.477000,699
306916,10138,START,W_Completeren aanvraag,2011-12-01 11:56:51.772000+00:00,2011-12-01 11:53:04.441000+00:00,190402,27700,COMPLETE,2011-12-01 12:17:15.350000+00:00,2011-12-01 11:53:04.441000+00:00,27700,0 days 00:20:23.578000,1223
363098,10138,START,W_Completeren aanvraag,2012-01-02 13:54:38.832000+00:00,2011-12-13 22:30:21.191000+00:00,193393,13,COMPLETE,2012-01-02 14:10:32.436000+00:00,2011-12-13 22:30:21.191000+00:00,13,0 days 00:15:53.604000,953
459169,10138,START,W_Completeren aanvraag,2012-01-05 11:30:16.698000+00:00,2012-01-05 11:29:29.571000+00:00,198235,47000,COMPLETE,2012-01-05 12:03:34.264000+00:00,2012-01-05 11:29:29.571000+00:00,47000,0 days 00:33:17.566000,1997
